@relation SemanalAcumulada_8-UltimasSemanas_8x2

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data
91311161,14,37,53,5,4,2,2,2,15,False
91311161,15,37,55,8,4,2,1,3,18,False
91311161,16,35,53,7,3,1,1,4,16,False
91311161,17,38,53,8,3,1,1,4,17,False
91311161,18,40,53,10,2,1,1,3,17,False
91311297,1,2,2,2,0,0,0,0,2,False
91311297,2,5,7,4,0,1,0,0,5,False
91311297,3,8,12,7,1,1,1,1,11,False
91311297,4,13,17,8,2,2,1,2,15,False
91311297,5,17,21,9,3,4,2,3,21,False
91311297,6,20,25,10,4,4,2,4,24,False
91311297,7,24,29,11,5,5,2,4,27,False
91311297,8,27,35,12,5,5,3,4,29,False
91311297,9,27,38,11,5,5,3,4,28,False
91311297,10,26,37,10,6,4,3,5,28,False
91311297,11,28,37,9,6,4,2,5,26,False
91311297,12,26,36,9,5,4,2,4,24,False
91311297,13,24,37,9,4,2,1,3,19,False
91311297,14,22,36,9,4,2,1,2,18,False
91311297,15,22,38,10,4,1,2,3,20,False
91311297,16,22,35,11,4,1,1,4,21,False
91311297,17,24,34,10,4,1,1,5,21,False
91311297,18,26,34,9,3,1,1,4,18,False
91311148,1,3,5,4,1,1,0,0,6,False
91311148,2,6,11,6,2,2,1,0,11,False
91311148,3,8,16,6,3,2,1,1,13,False
91311148,4,10,22,6,4,2,1,2,15,False
91311148,5,10,25,6,4,2,1,2,15,False
91311148,6,15,31,8,5,6,1,3,23,False
91311148,7,16,35,9,5,6,1,3,24,False
91311148,8,19,41,10,6,6,1,3,26,False
91311148,9,19,41,8,5,5,2,3,23,False
91311148,10,18,39,6,5,4,1,4,20,False
91311148,11,21,39,7,4,4,1,4,20,False
91311148,12,21,38,8,3,5,1,3,20,False
91311148,13,21,39,8,3,5,1,3,20,False
91311148,14,16,35,6,2,1,1,2,12,False
91311148,15,19,38,6,3,1,2,3,15,False
91311148,16,18,38,5,2,1,2,4,14,False
91311148,17,18,39,3,2,1,1,4,11,False
91311148,18,22,42,4,1,1,1,3,10,False
91311199,1,0,0,0,0,0,0,0,0,False
91311199,2,4,7,4,1,0,0,0,5,False
91311199,3,10,14,5,2,0,1,1,9,False
91311199,4,14,20,6,3,4,1,2,16,False
91311199,5,18,27,6,4,4,1,3,18,False
91311199,6,22,34,8,5,5,1,3,22,False
91311199,7,27,40,9,6,5,2,3,25,False
91311199,8,31,45,9,7,5,2,3,26,False
91311199,9,35,52,9,7,5,2,3,26,False
91311199,10,37,51,6,7,5,2,4,24,False
91311199,11,35,48,6,7,6,1,3,23,False
91311199,12,33,46,5,6,2,1,2,16,False
91311199,13,32,43,6,6,2,2,1,17,False
91311199,14,30,42,4,5,1,2,1,13,False
91311199,15,27,42,3,5,1,1,2,12,False
91311199,16,25,40,3,4,1,1,2,11,False
91311199,17,22,34,3,4,1,1,2,11,False
91311199,18,22,34,5,3,1,1,1,11,False
91311084,1,0,0,0,0,0,0,0,0,False
91311084,2,3,5,3,0,1,1,0,5,False
91311084,3,7,9,3,1,1,1,1,7,False
91311084,4,11,14,4,2,4,2,1,13,False
91311084,5,13,17,6,3,5,2,2,18,False
91311084,6,15,21,8,3,5,2,2,20,False
91311084,7,17,25,9,4,6,2,2,23,False
91311084,8,19,29,11,5,6,3,2,27,False
91311084,9,19,31,11,5,6,3,2,27,False
91311084,10,18,30,9,5,5,2,3,24,False
91311084,11,16,28,10,4,5,2,2,23,False
91311084,12,13,26,9,3,2,1,2,17,False
91311084,13,13,26,9,2,2,1,1,15,False
91311084,14,13,26,7,3,2,2,1,15,False
91311084,15,12,26,6,2,1,2,1,12,False
91311084,16,13,25,4,2,1,1,2,10,False
91311084,17,19,29,4,2,1,1,2,10,False
91311084,18,23,31,5,2,2,1,1,11,False
91311436,1,0,0,0,0,0,0,0,0,False
91311436,2,4,5,1,1,0,1,0,3,False
91311436,3,10,12,2,2,0,1,1,6,False
91311436,4,14,19,4,3,3,2,1,13,False
91311436,5,20,26,5,4,3,2,2,16,False
91311436,6,25,33,6,5,4,2,2,19,False
91311436,7,31,40,8,6,4,3,2,23,False
91311436,8,36,47,11,7,4,3,2,27,False
91311436,9,43,54,12,8,4,3,2,29,False
