@relation SemanalAcumulada_6-UltimasSemanas_6x1_reprovados

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data
91311161,2,2,6,1,1,0,1,0,3,False
91311161,3,5,10,4,2,3,2,1,12,False
91311161,4,11,17,6,3,7,3,1,20,False
91311161,5,12,23,6,3,7,3,2,21,False
91311161,6,17,29,7,3,8,3,2,23,False
91311161,7,22,32,7,4,8,4,2,25,False
91311161,8,26,35,9,4,9,3,2,27,False
91311161,9,27,38,6,3,6,2,1,18,False
91311161,10,26,38,4,3,2,1,2,12,False
91311161,11,29,38,5,3,3,1,2,14,False
91311161,12,29,39,5,3,2,1,2,13,False
91311161,13,29,41,5,3,2,1,2,13,False
91311161,14,26,41,2,2,1,1,2,8,False
91311161,15,27,41,5,3,1,1,3,13,False
91311161,16,26,39,7,2,1,1,3,14,False
91311161,17,29,40,7,2,0,1,2,12,False
91311161,18,31,40,8,2,0,1,2,13,False
91311297,1,2,2,2,0,0,0,0,2,False
91311297,2,5,7,4,0,1,0,0,5,False
91311297,3,8,12,7,1,1,1,1,11,False
91311297,4,13,17,8,2,2,1,2,15,False
91311297,5,17,21,9,3,4,2,3,21,False
91311297,6,20,25,10,4,4,2,4,24,False
91311297,7,22,27,9,5,5,2,4,25,False
91311297,8,22,28,8,5,4,3,4,24,False
91311297,9,21,28,6,4,4,2,3,19,False
91311297,10,18,27,6,4,3,2,3,18,False
91311297,11,19,28,7,4,1,1,3,16,False
91311297,12,19,28,7,3,2,1,2,15,False
91311297,13,17,29,7,2,1,1,2,13,False
91311297,14,15,26,7,3,1,0,2,13,False
91311297,15,17,27,8,4,1,1,3,17,False
91311297,16,18,26,9,3,1,1,3,17,False
91311297,17,17,25,7,2,1,1,3,14,False
91311297,18,18,25,6,2,0,1,3,12,False
91311148,1,3,5,4,1,1,0,0,6,False
91311148,2,6,11,6,2,2,1,0,11,False
91311148,3,8,16,6,3,2,1,1,13,False
91311148,4,10,22,6,4,2,1,2,15,False
91311148,5,10,25,6,4,2,1,2,15,False
91311148,6,15,31,8,5,6,1,3,23,False
91311148,7,13,30,5,4,5,1,3,18,False
91311148,8,13,30,4,4,4,0,3,15,False
91311148,9,14,30,6,3,4,1,2,16,False
91311148,10,14,28,6,3,4,1,2,16,False
91311148,11,19,30,7,3,4,1,3,18,False
91311148,12,16,29,6,2,1,1,2,12,False
91311148,13,15,29,5,2,1,1,2,11,False
91311148,14,12,25,4,1,1,1,2,9,False
91311148,15,13,27,3,2,1,1,3,10,False
91311148,16,13,29,3,1,1,1,3,9,False
91311148,17,11,30,2,1,1,1,2,7,False
91311148,18,15,32,2,1,0,1,2,6,False
91311199,1,0,0,0,0,0,0,0,0,False
91311199,2,4,7,4,1,0,0,0,5,False
91311199,3,10,14,5,2,0,1,1,9,False
91311199,4,14,20,6,3,4,1,2,16,False
91311199,5,18,27,6,4,4,1,3,18,False
91311199,6,22,34,8,5,5,1,3,22,False
91311199,7,27,40,9,6,5,2,3,25,False
91311199,8,27,38,5,6,5,2,3,21,False
91311199,9,25,38,4,5,5,1,2,17,False
91311199,10,27,38,4,5,1,1,2,13,False
91311199,11,27,35,5,5,2,1,1,14,False
91311199,12,25,32,3,4,1,1,1,10,False
91311199,13,23,30,3,4,1,1,1,10,False
91311199,14,21,31,3,3,1,1,1,9,False
91311199,15,19,30,3,4,1,1,2,11,False
91311199,16,15,27,2,3,1,1,1,8,False
91311199,17,12,24,1,2,0,1,1,5,False
91311199,18,16,26,4,2,0,1,1,8,False
91311084,1,0,0,0,0,0,0,0,0,False
91311084,2,3,5,3,0,1,1,0,5,False
91311084,3,7,9,3,1,1,1,1,7,False
91311084,4,11,14,4,2,4,2,1,13,False
91311084,5,13,17,6,3,5,2,2,18,False
91311084,6,15,21,8,3,5,2,2,20,False
91311084,7,17,25,9,4,6,2,2,23,False
91311084,8,16,24,8,5,5,2,2,22,False
91311084,9,12,22,8,4,5,2,1,20,False
91311084,10,10,21,8,3,2,1,2,16,False
91311084,11,10,20,7,2,1,1,1,12,False
91311084,12,9,19,5,2,1,1,1,10,False
91311084,13,9,18,6,1,1,1,1,10,False
91311084,14,9,18,4,1,1,1,1,8,False
91311084,15,10,20,4,1,1,1,1,8,False
91311084,16,11,19,3,2,1,1,1,8,False
91311084,17,15,23,2,2,1,1,1,7,False
91311084,18,20,26,4,2,2,1,1,10,False
91311436,1,0,0,0,0,0,0,0,0,False
91311436,2,4,5,1,1,0,1,0,3,False
91311436,3,10,12,2,2,0,1,1,6,False
91311436,4,14,19,4,3,3,2,1,13,False
91311436,5,20,26,5,4,3,2,2,16,False
91311436,6,25,33,6,5,4,2,2,19,False
91311436,7,31,40,8,6,4,3,2,23,False
91311436,8,32,42,10,6,4,2,2,24,False
91311436,9,33,42,10,6,4,2,1,23,False
91311436,10,35,41,8,6,1,1,2,18,False
91311436,11,35,40,8,6,2,1,1,18,False
